firm,firmsize,treated,shrimp1,shrimp2,shrimp3,shrimp4,shrimp5,shrimp6,shrimp7,shrimp8,shrimp9,shrimp10,shrimp11,shrimp12,shrimp13,shrimp14,shrimp15,shrimp16,shrimp17,shrimp18,shrimp19,shrimp20,shrimp21,shrimp22,shrimp23,shrimp24,shrimp25,shrimp26,shrimp27,shrimp28,shrimp29,shrimp30,shrimp31,shrimp32,shrimp33,shrimp34,shrimp35,shrimp36,salmon1,salmon2,salmon3,salmon4,salmon5,salmon6,salmon7,salmon8,salmon9,salmon10,salmon11,salmon12,salmon13,salmon14,salmon15,salmon16,salmon17,salmon18,salmon19,salmon20,salmon21,salmon22,salmon23,salmon24,salmon25,salmon26,salmon27,salmon28,salmon29,salmon30,salmon31,salmon32,salmon33,salmon34,salmon35,salmon36,bycatch1,bycatch2,bycatch3,bycatch4,bycatch5,bycatch6,bycatch7,bycatch8,bycatch9,bycatch10,bycatch11,bycatch12,bycatch13,bycatch14,bycatch15,bycatch16,bycatch17,bycatch18,bycatch19,bycatch20,bycatch21,bycatch22,bycatch23,bycatch24,bycatch25,bycatch26,bycatch27,bycatch28,bycatch29,bycatch30,bycatch31,bycatch32,bycatch33,bycatch34,bycatch35,bycatch36
1.0,15.0,0.0,103677.06803050383,95784.44637064762,102597.99805379666,101419.11152141629,103799.22015618192,96148.6576521486,102771.78959609182,100442.98770012574,105693.07933936887,96372.72291857483,104013.10095820285,99907.26875441991,106339.24582215011,105787.57987213663,101397.69269176663,108119.36773074744,96721.76044327166,100979.52238130018,104883.38680969444,107826.17674259594,110503.1311723196,111430.13176418745,105909.03401940709,103423.76881533916,98837.53044036185,100244.16068992048,99095.66433620735,102986.0929789973,98147.12385096717,100345.21942597868,101592.7983524156,94658.16914049408,98490.63823672831,102124.80025332762,95757.65717482899,104585.07543794722,224563.47018433062,224953.56896247575,224769.26496249292,224972.77956719245,224938.79593547396,225525.88031387335,225422.7622678777,225824.80719251325,226105.45003593276,226336.37134700658,226729.12769483696,226371.56074766486,226225.17467089035,227013.48044403497,226047.4852416752,226820.0090428182,226571.9198205987,227452.52924804238,225977.87106362317,227402.765548456,227042.9195291705,226777.60239428648,226823.82845234073,228110.1153970927,227505.0060906776,227293.57356798812,228900.82739538988,227629.58896253022,228583.08351708011,227584.99227005726,228507.24490307487,228676.05847208874,228578.50833319707,228762.17715655832,229084.4071571526,228935.46880180878,216062.28676141333,208372.48240360196,215116.4732274614,214019.76974946324,216383.59185062392,209034.67479876985,215595.94292004453,213448.1166900497,218858.60917595917,209677.2584091007,217500.9711567334,213230.00293606106,219566.59349665797,219405.53535525835,214554.14606666437,221655.38389774403,210129.0976112745,214850.00928185243,217989.38154073627,221631.84109834908,224140.6336151592,224946.34296004698,219439.69360867902,217595.71652322452,170208.67103252836,171214.50972661807,170951.8020577875,173562.37375279592,170077.72864053448,171424.20484036807,172805.19604493998,167319.37201755872,170328.50240903613,173308.34242654569,168367.48886623306,175359.41857831058
2.0,4.0,0.0,34762.09788230219,33436.95313735959,34073.975678390976,32851.122195089796,32530.86292055508,30495.905051053338,31252.721580629866,33137.401669865576,34095.764168680835,31755.46400066143,33560.51963796355,32643.175983439778,33526.3575827173,32638.899938563525,31995.328733731923,33368.56888979756,32494.78957687405,33415.401932911635,33485.9160535617,32717.46580728723,31730.493518209365,32522.542365244477,33252.207582307965,34032.98019852384,33845.02494325845,32539.0713264969,32154.256907242012,32570.108492571057,31346.104049396556,33341.740416880595,33225.85258302091,32092.971172027053,32799.86150376529,32197.845958442984,34645.09274334256,33845.38269093292,59663.311069252115,59556.85687429221,59748.210961295554,60092.80902825207,59893.38096963064,59942.240336914154,59841.5702535818,59969.32127226418,59987.61985467598,60027.436930582466,60077.33207500655,60128.10988042227,60220.84361320259,60087.519589646385,60130.9292133984,60232.15161462019,60009.300318254915,60433.84677426593,60572.750970808396,60423.82873876638,60442.13627665294,60403.31239062217,60405.17352170274,60828.52774155314,60711.42280130103,60610.876960866255,60548.907119629184,60700.63777987185,60736.365762838,60536.158694784936,61080.557532252235,60786.36780731664,60756.6407449378,60985.7056434682,60995.749969839715,60926.37254040516,64740.153093029905,63356.79248804702,64112.44967687169,63059.325403495066,62629.64609793086,60626.055362919105,61322.508401966945,63278.19203295194,64234.952467077965,61906.11882197795,63760.83624787129,62848.17380239462,63787.08613556043,62823.59141265753,62194.665900448046,63620.539970168145,62648.70983069694,63795.71847089318,63939.23788097642,63080.204025855346,62099.31181250511,62874.66859372041,63620.04574135477,64605.91385254591,51507.84609078664,50422.9020404594,50081.93836298166,50495.11090880658,49499.54000637002,51049.46990426495,51153.29498617051,50145.18309455128,50701.95896481346,50293.48242991145,52261.29714723791,51601.1064412666
3.0,13.0,0.0,111100.44485912788,107251.58657300174,107649.28328514908,108667.95943237541,103895.09447329886,108653.38562956575,110471.92335653903,105659.68333742858,107250.3546449909,107996.70958579853,109689.62733723187,109590.941101089,105399.33266742497,114767.95568670012,109819.14652539234,110666.04074684563,111376.6163646163,117135.80546677922,115663.0161202857,107157.23287797603,111988.87811546309,108036.65753101469,109740.93757788252,116133.37320727066,102455.13417044097,109317.60315785208,102947.92854087136,111576.7002512351,109212.14442589211,112209.20189214933,108195.33495838392,111681.55255388375,113738.92676606147,105598.6742470327,108396.37167724446,109642.87534797884,195554.10333194587,194956.46891172943,195663.19510032603,195281.0623439168,196177.40879459554,196258.19120845912,196494.17837119388,196725.84335152214,196697.18504920832,197231.1028083246,196541.51850164033,197662.29111594203,197474.01372231034,196997.2247952365,197481.0813607002,198214.28826285043,197875.9171291628,197660.15688517853,198526.061835603,197623.86041051327,198332.05916193532,198432.20257705133,198577.3214092238,198909.33376223934,198624.86256279564,198478.02493631022,198621.58531708678,199105.7399984859,199736.06680973648,200050.08323532797,200433.03613269754,199419.19328143177,199543.45141008045,199804.06850584236,199730.84867611565,200746.50919431212,208972.27545595335,204827.2531472119,205558.98678154068,206405.26453869813,202067.15354324388,206879.6365700206,208806.27079264214,204115.172677946,205675.9154942085,206676.990984081,208037.1027558666,208512.5761293455,204221.20426600048,213359.69184375802,208649.74078719525,209862.17311909632,210402.1935589567,216040.62012298772,215022.42038599635,206054.50189470063,211247.43091712732,207329.26831254276,209136.8458623824,215679.75155460587,161496.6380178005,166934.55737367907,161899.99979312846,168998.59937938408,167362.05996712443,169885.4569372214,166801.27032094827,169193.74602870096,170894.96560826167,164485.66486955667,166703.07122317556,168098.88729134976
4.0,7.0,1.0,50017.98534115592,51369.60873339745,50732.80406236845,51815.054108295015,53578.37842928526,53231.103160350125,49990.61943164981,50500.146175916896,51790.96843542063,48478.15901441771,50548.202697463035,53316.79235486147,50240.52574497478,53754.170542882384,54571.364895136285,52644.37767281243,51962.85099093854,52196.821344020886,54037.20730847734,51558.19523211259,52167.142526148404,52108.551874462035,53953.57761348455,54085.49029629422,50976.69727306498,51561.079525021225,50195.569468972055,49989.96986491369,49937.966157237446,50157.03323129859,49898.77407996598,51411.90516664983,52501.17297500844,48787.496870884584,53151.90884586964,54969.32040587576,105179.13729459177,104998.29744443277,105002.30022898679,105315.53922006361,105550.5054432544,105628.30414015254,105495.3540283256,105636.82907609465,105395.64578394753,105503.36281731511,105438.41342041375,106098.15977402842,106278.43900634172,106336.7220377471,105898.92647832143,106086.48395998485,106127.23536326808,106343.41691645577,106401.32082648882,106006.93991230575,106538.38462964159,107242.0792443053,106746.70747253559,106550.36138498882,106937.07873055685,107132.90315639217,106975.6205474755,106927.23901630832,106887.76088673704,107327.71247411812,107716.97426736291,107169.65549909427,107705.77404429772,107411.76757178364,107579.01615092478,107543.84670813427,102702.40874326248,103944.79297819972,103325.60591158565,104574.71571408886,106430.2145388906,106141.07045254632,102844.65171278066,103413.76126919215,104590.77688569289,101326.3287577435,103364.99524491269,106453.35288062884,103470.24913730338,107027.73040358051,107610.71148092147,105780.49378657348,105115.92568442304,105474.58494251638,107323.74654263633,104655.50057099362,105533.41865820161,105812.93683609167,107418.51796856086,107452.58989797383,83657.1185495198,84206.7500117993,83041.70293009155,82878.35589269895,82819.84646059986,83148.17319138981,83095.66554048733,84092.04236095872,85185.1377864291,82090.16280413671,85629.02639196631,87083.1214844312
5.0,13.0,1.0,80897.40138181292,80194.2042861847,83409.43887659516,76452.80556307446,78712.27711293382,80807.31473719772,82499.34331593465,80267.57623081881,78196.61198491008,87740.59424327867,79876.810496364,85942.7448412966,78740.56146237646,80434.29178028248,77996.81631644045,85114.15011624394,81851.69196599632,78219.1261086014,84909.38365357436,86676.25863929995,83692.83740118882,88242.22539219276,80167.41429145308,86185.40874539418,89543.68495591219,85487.64607349256,80613.15021880287,78646.23738365943,78002.57296249973,77157.15753373418,79900.5451988853,83569.04867495605,82496.70394080464,85174.83084291195,81435.1072151951,84430.45259735455,199871.4684255152,199761.34365911235,199405.4824751,199755.48511342393,200335.60436764322,200234.11115679704,201025.62128978176,201211.58197288174,201248.64780309005,201292.16265712588,201342.2847775084,202183.83427483158,202023.27422687833,202138.27434820673,201728.96361750172,202582.97043909796,202813.822395411,202606.33075113836,202660.42755393413,203022.5649040846,203285.40199361384,204259.87979425286,203676.72520983804,203549.57585626177,204346.83277998163,203890.38279762518,204570.37777611433,204449.97354858738,204807.17271635777,204755.11696408832,205120.55541383516,205368.6182571877,205586.01171289687,205815.87177825184,205086.96979170546,206448.48627028606,180917.41116297338,180162.27396294673,183194.7015641578,176396.55035384628,178949.09417805535,181004.00791283406,183082.76570841105,180951.0409107793,178890.5420803838,188457.4292707994,180621.64305910442,187114.23885792974,179837.11490781934,181597.59661654348,178946.21063523053,186485.2099753098,183337.32724237282,179609.33906642796,186315.9924443263,188273.8220697553,185408.08363733595,190448.7239026976,182074.59603062595,188032.58914420925,153453.59773885022,150017.20074810088,146403.302480457,144787.26996677593,144418.1908373453,143697.62981340036,146064.67813987023,149066.23619141072,148304.6436290044,150526.9942454011,147249.10817416673,150219.80872952048
6.0,14.0,0.0,112209.56286019152,108638.87228767227,108608.4212899145,115306.68501437598,111971.57016122072,110773.23959666505,115244.65936164162,114463.39755692061,111274.58944910174,116194.33171880018,109792.71222340454,116496.05920102737,117995.98968303589,116913.32679723711,115961.48536969846,114696.06389229099,119493.29326908257,113314.39963625814,120384.29139769266,115992.48502563732,119091.73398871806,119776.64517875765,114574.95254311156,118562.84685033563,106919.04298646965,113193.43527276117,110749.99957453884,108448.64710422634,109698.58054915073,105826.65689492204,110491.3031314969,110570.15487310672,110689.45176600217,109716.49929561227,104030.6395493378,112942.90191574418,207572.35067970408,208891.8890697021,207798.30111851182,209098.70972755182,209240.7366752363,209445.58741771485,209440.7395041829,209242.0838507294,209427.750119976,208431.56448308614,209937.9326742461,209407.74048502138,210441.2658108181,209628.81259060584,209564.87748186014,210515.69951951833,209828.6835460559,210328.86882770938,210591.34407278098,210568.05670883664,210239.22419582054,210329.56381681238,210247.86716342779,210789.1107020706,210582.79937430835,211158.09127367137,212071.9612398337,211235.72897266087,212105.52259767792,211727.48853543977,211573.90076949188,211666.95375207046,211425.78954015338,211853.34930465918,211861.78630960244,211950.17805646337,216059.75275989037,213147.49297609174,212557.60322482645,219898.7354889228,216650.05726657866,215580.78213547965,220046.017992679,219151.56809609194,216036.41244734172,220458.84967854831,214834.04579468557,221252.11857251104,223281.70298396953,221787.20928184176,220806.6660918353,220025.7057830052,224462.81587235778,218538.81086527678,225734.69045382345,221322.5100791492,224276.23438719806,225003.2709487532,219760.08561721916,224010.5900906871,169836.60685425144,175076.03822695313,173479.01188753973,171296.19709624664,172657.5945803903,169416.0107732979,173091.1964337454,173171.2726398682,173161.41295488286,172574.2539698436,168008.81691390666,175200.43236602112
7.0,2.0,0.0,16836.423686642258,16874.567324640473,16217.29722094263,16765.775612123543,15906.29226300172,16758.117495524366,16416.796657837658,16075.887343213453,16836.30966019223,16617.668521710995,16973.54636677514,17359.75277590428,15982.414273444425,16784.656520045337,16388.885483584443,16717.86469583331,16544.51733050249,17179.253797171627,17369.63852819648,16740.332784872047,16730.51700711132,17707.925252014797,16869.494267414102,17194.46760763008,17056.95301769628,16650.158043827167,16338.31167821421,17039.19020080879,16934.516329243485,15521.597181759555,16551.04131129783,16691.847294538147,16767.020738732765,16945.853596468532,17608.075653914162,16397.51811216176,30296.346910623277,30244.808394960644,30382.142174736076,30319.309092911928,30258.17961217671,30349.440218996155,30422.18421085199,30446.374525016534,30508.238427145643,30462.940068462554,30561.44145490023,30478.143908119884,30515.900308633096,30545.520722351426,30548.83472220029,30604.374553661684,30577.649374825676,30656.043652161003,30660.5952526869,30772.25182744002,30632.089598260707,30709.477411743188,30742.146762418062,30679.246727242593,30716.64658149346,30780.23477058604,30800.637335121814,30797.473266424917,30795.9147979159,30960.24528122735,30884.236122078517,30903.856206013523,30955.642234549956,30916.844725178347,31066.721284054067,30977.306070234576,32066.583359235803,32073.197846126273,31469.557532857718,31982.348626068575,31104.764992113513,31995.25158316468,31697.739119994134,31364.456772549056,32152.312301012193,31913.69265924162,32312.78451218561,32670.214398276374,31314.031455693093,32112.62435603719,31718.34678099543,32082.559561304777,31886.13226401664,32571.70414215198,32763.72368590571,32190.90249829316,32116.82113480787,33130.58090517243,32295.96803020964,32601.49417583018,25989.166617408344,25708.306333146,25460.075989172008,26031.710749208753,25933.194520487425,24878.138175057255,25651.495004453383,25772.80011621826,25861.228068172106,25980.501616141457,26593.598234904883,25567.64966516293
8.0,11.0,0.0,73181.03353071751,74582.14020032692,77753.33298234966,78128.82115484736,74002.9265515746,78430.53286931357,79839.64858808406,76998.2693001455,72721.1121782716,79795.77715951216,74749.08418209183,78493.80907238505,84463.78991812862,77827.21526939968,82716.82889628243,74402.00883292765,81607.74280003009,77353.98378788902,76408.30516179252,82559.23428160165,81958.37473015244,79055.47398015618,82091.7714139612,81344.3963536626,76802.89306679266,76936.03353618772,77706.76741487069,75387.51495742906,74836.67722286697,77480.68566470013,75234.42788298825,75923.5409980981,73842.61240461683,78313.37693138278,76991.99422804709,73005.65906392218,168076.56059420906,168264.0680009065,167719.79581591737,166922.6537034022,168286.30372212004,168453.45484233522,168155.76628469353,168811.70449583474,169428.14519231635,168927.25429647017,168644.26306607408,169149.03405574436,168895.7319799281,169218.28816428367,169517.08613266228,169201.97010367145,170187.0906140732,169835.41949079186,169840.56541416407,169733.22438333393,169512.32579177458,169681.29756621184,170510.80458252146,170520.72471071268,170425.45058413516,170092.02285045487,170362.46098053557,171052.01893471528,170877.91515114254,170565.31938466782,170705.6682068763,171607.05146551187,171017.12476183005,171084.5410027046,171158.53225911586,172070.60682862316,157337.70812059497,158846.39756927732,161717.63625662355,161698.94427668725,158274.6675878574,162774.5855287958,164031.1219483392,161522.00954617411,157551.32450896467,164366.73234169924,159205.15509316724,163175.70906283896,169025.37623132853,162548.94196127943,167591.49962318197,159119.42523435358,166824.20683879725,162391.83142959216,161445.26052598454,167547.16148660716,166833.91643195032,164014.8150180493,167459.20860414175,166726.60526514155,129733.30914175537,129716.04786502568,130426.26438034748,128854.7549251518,128330.25160705356,130320.74197186968,128596.48091530186,129507.89535329024,127593.09021602798,131205.81495994967,130173.51651987864,127352.65375371289
9.0,9.0,1.0,81470.22344231396,79629.83339942091,81082.48132867493,80139.75420691643,77813.03111524176,79037.02567980118,77805.45524694106,78653.62801005744,78646.31212314639,80611.76498693906,79115.36766196182,80572.60777677094,78976.74851309987,82124.69388433825,80778.12970431644,78783.61543940523,80802.03064646284,78194.19105044124,78906.8179952496,83656.82726873035,77384.49542189349,82019.1024840537,79773.22292022663,82050.84431749815,78858.69348761406,80147.04336507847,80367.6108412687,76032.78395049908,76162.26456783395,78025.33382683928,79931.73348373953,79972.7420518761,75695.60407682353,80472.00269488545,76233.56868144096,79924.75062595664,138347.60797644005,138017.749095887,138380.64828514168,138661.970689037,139075.87928759804,139197.42739625426,138872.6056404337,139529.43298134176,139673.96066121594,138991.00977547368,139879.52123332163,139761.46112613098,140375.1549527041,140170.65263362508,140385.53601657768,140015.85207367747,140106.96425773477,140509.23979987632,140471.6377398522,140286.44589222243,141238.33241130336,140658.01323222127,141119.01205085852,141229.4313478381,140989.99161536098,141290.70361390276,141423.01966871612,141991.22867523175,142257.40462016666,142069.6593352781,142091.7372291865,141799.77824929863,142637.28349315387,142428.05966710087,142634.1110680258,142627.51457456333,150721.42168850978,148716.64706560769,150330.23486311242,149536.60299192782,147418.04554887523,148712.45203079027,147324.13325640038,148478.93021321204,148547.50375956067,150168.26365846183,149136.28602521657,150513.1044139311,149227.32248411304,152272.33765381816,151025.56877085243,148869.08583794674,150931.15797787995,148527.9209065149,149198.5047730147,153871.6923880575,148062.96157671747,152408.92703727685,150383.30158425006,152715.32907516728,119555.61077591272,120701.23787488733,120924.1017145336,117691.10830914331,117895.52504629036,119303.59521143248,120834.4691241186,120758.75057863854,117658.28702967938,121401.36977301806,118100.01084584605,121068.59765981634
10.0,11.0,1.0,109364.86595856617,105552.90342908242,107457.71331937068,104617.41287231025,108112.41580939604,105264.26831922635,104322.71548967459,107471.88857425524,109400.19253329348,107293.57467060385,109524.75610774306,105393.6727317807,111119.65236883181,105369.20537652104,112168.9058307515,108621.48118964737,110583.12029667452,110561.18641463053,112499.81855870773,111877.37226460768,110814.12753449474,113979.40583703105,111007.35562964101,112630.27111755745,104890.90116770951,109845.63551710284,108811.73694080354,106880.50734910232,105599.93648800091,103615.63769321558,105975.56945710444,105642.1455289553,106464.5023929422,108271.05240060217,105642.22090445562,109135.99937978885,166986.1934152119,166563.52151538525,166942.2855130173,166721.60481324216,167050.03284692173,166467.52745605502,166819.0774587201,167435.7427297782,167742.9519684589,168036.53972717503,167391.42789492037,167740.23282006654,168010.67114246453,167709.4571853794,168289.3678437046,168295.65173234016,167466.6100534171,168667.68298895878,167902.92861917155,168340.86837511125,168346.0546711621,168721.10050324592,168309.81303003692,168424.71161361085,169052.81383336408,168836.77650646036,168866.24756573822,168870.7600495913,169341.01711831463,169731.02029442982,169691.46553490093,169701.84905355834,169872.63008786828,170123.3109536503,169766.83306407867,170099.04714727,192955.15077286933,188943.64230407044,191051.40951410925,188081.80440374458,191743.01221554444,188616.52030179105,187842.38625931722,191296.88914401337,193385.6994234646,191435.46430420806,193331.65799652037,189376.1482417344,195231.12429215503,189339.075383679,196432.38921589256,192857.81101363245,194429.3868943947,195020.96014050164,196564.17528270755,196158.02586466828,195106.23323080776,198438.1058799433,195274.59243794027,196949.87780292679,151632.83209241324,155531.21393049174,154687.51528024214,153154.11454351983,152335.3091251232,150897.77592565122,152802.35198825918,152502.00533059647,153239.44430107114,154782.77426742413,152529.63302360225,155447.69454452777
